City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Narok,KE,2022-11-28 01:54:46,-1.0783,35.8601,55.38,90,39,3.83
226,Eureka,US,2022-11-28 01:54:47,40.8021,-124.1637,52.75,80,85,1.01
227,Vaitape,PF,2022-11-28 01:54:47,-16.5167,-151.75,79.34,73,16,11.88
228,El Alto,PE,2022-11-28 01:54:47,-4.2714,-81.2147,65.86,84,34,10.51
229,Buala,SB,2022-11-28 01:55:48,-8.145,159.5921,83.28,76,98,5.99
230,Itarema,BR,2022-11-28 01:55:23,-2.9248,-39.9167,78.64,78,98,12.88
231,Krasnokamensk,RU,2022-11-28 01:55:48,50.0979,118.0369,0.75,95,100,3.83
232,Komsomolskiy,UZ,2022-11-28 01:55:49,40.4272,71.7189,36.32,93,100,4.61
233,Yorosso,ML,2022-11-28 01:55:49,12.3536,-4.7761,72.93,18,100,6.11
234,Cape Town,ZA,2022-11-28 01:51:28,-33.9258,18.4232,67.37,67,0,5.99
235,Kysyl-Syr,RU,2022-11-28 01:55:50,63.8986,122.7617,-25.13,98,95,2.75
236,Rocha,UY,2022-11-28 01:55:50,-34.4833,-54.3333,64.65,96,0,9.15
237,Lukovo,MK,2022-11-28 01:55:50,41.3494,20.6047,33.98,94,100,4.56
238,Aswan,EG,2022-11-28 01:55:51,24.0934,32.907,65.5,48,0,0.0
239,Weinan,CN,2022-11-28 01:55:51,34.5036,109.5089,48.78,40,100,11.16
240,Kinsale,IE,2022-11-28 01:55:51,51.7075,-8.5306,45.77,87,40,9.22
241,Deputatskiy,RU,2022-11-28 01:55:52,69.3,139.9,-28.82,93,100,2.77
242,Egvekinot,RU,2022-11-28 01:55:52,66.3167,-179.1667,-1.77,76,32,4.27
243,Bilibino,RU,2022-11-28 01:55:53,68.0546,166.4372,-4.47,92,100,2.57
244,Faanui,PF,2022-11-28 01:55:53,-16.4833,-151.75,79.34,73,17,11.86
245,Bubaque,GW,2022-11-28 01:55:54,11.2833,-15.8333,82.17,57,100,8.37
246,Tyret Pervaya,RU,2022-11-28 01:55:54,53.6703,102.3106,-6.79,88,100,9.01
247,Jinchang,CN,2022-11-28 01:55:54,38.4953,102.1739,13.14,66,83,2.53
248,Isangel,VU,2022-11-28 01:55:55,-19.55,169.2667,87.91,66,25,8.05
249,Shawnee,US,2022-11-28 01:55:55,39.05,-95.7669,38.17,69,100,4.65
250,Padang,ID,2022-11-28 01:55:55,-0.9492,100.3543,82.44,66,100,0.83
251,Okha,RU,2022-11-28 01:55:56,53.5739,142.9478,19.49,82,100,19.64
252,Dalnegorsk,RU,2022-11-28 01:55:56,44.5604,135.5701,28.9,65,100,3.06
253,Yulara,AU,2022-11-28 01:55:56,-25.2406,130.9889,82.27,20,16,10.51
254,Salalah,OM,2022-11-28 01:55:57,17.0151,54.0924,74.64,38,54,4.0
255,Khani,GE,2022-11-28 01:55:57,41.9563,42.9566,36.97,86,57,3.42
256,Waingapu,ID,2022-11-28 01:55:57,-9.6567,120.2641,84.51,70,100,5.79
257,Matamoros,MX,2022-11-28 01:55:58,25.5333,-103.25,63.1,22,0,2.42
258,Ndjole,GA,2022-11-28 01:55:58,-0.1783,10.7649,73.09,98,100,0.43
259,Utena,LT,2022-11-28 01:55:59,55.5,25.6,24.94,98,97,2.46
260,Hambantota,LK,2022-11-28 01:55:59,6.1241,81.1185,73.74,100,20,2.3
261,Baykit,RU,2022-11-28 01:56:00,61.67,96.37,-9.11,97,100,4.21
262,Oum Hadjer,TD,2022-11-28 01:56:00,13.2954,19.6966,70.21,20,78,8.21
263,Parainen,FI,2022-11-28 01:56:00,60.3067,22.301,34.14,86,100,10.42
264,Sabha,LY,2022-11-28 01:56:01,27.0377,14.4283,52.18,63,4,16.11
265,Tres Arroyos,AR,2022-11-28 01:56:01,-38.3739,-60.2798,67.91,73,26,14.94
266,Vestmannaeyjar,IS,2022-11-28 01:56:02,63.4427,-20.2734,37.96,75,10,22.15
267,Chiang Khong,TH,2022-11-28 01:56:02,20.2613,100.4046,73.53,92,78,0.6
268,Santa Marta,CO,2022-11-28 01:51:45,11.2408,-74.199,81.9,79,100,4.61
269,Bardiyah,LY,2022-11-28 01:54:25,31.7561,25.0865,61.02,62,46,11.52
270,Sasaram,IN,2022-11-28 01:56:03,24.951,84.0149,62.35,44,0,1.92
271,Nortelandia,BR,2022-11-28 01:56:03,-14.4547,-56.8028,78.4,37,23,2.46
272,Pangkalanbuun,ID,2022-11-28 01:56:03,-2.6833,111.6167,88.25,57,32,3.24
273,Kavieng,PG,2022-11-28 01:57:04,-2.5744,150.7967,85.26,63,99,9.62
